Game,Score
Brothers: A Tale of Two Sons,8.2
Brothers: A Tale of Two Sons,8.2
Rise of the Triad,4.3
Tales of Xillia,8
Dragon's Crown,8.5
Dragon's Crown,8.5
Halo: Spartan Assault,6.7
Halo: Spartan Assault,6.7
Halo: Spartan Assault,6.7
The Raven: Legacy of a Master Thief Chapter I: The Eye of the Sphinx,9
The Raven: Legacy of a Master Thief Chapter I: The Eye of the Sphinx,9
The Raven: Legacy of a Master Thief Chapter I: The Eye of the Sphinx,9
The Raven: Legacy of a Master Thief Chapter I: The Eye of the Sphinx,9
The Raven: Legacy of a Master Thief Chapter I: The Eye of the Sphinx,9
Cloudberry Kingdom,7.4
Cloudberry Kingdom,7.4
PixelJunk Monsters: Ultimate HD,9
Jak and Daxter Collection,6.8
Stealth Inc.: A Clone in the Dark,9.2
Stealth Inc.: A Clone in the Dark,9.2
Rogue Legacy ,9
Attack of the Friday Monsters: A Tokyo Tale,6.2
Shadowrun Returns,7.3
EarthBound,9
Dota 2,9.4
R.I.P.D.: The Game,4.5
Sine Mora,4.9
Velocity Ultra,8.4
Velocity Ultra,8.4
Velocity Ultra,8.4
Pikmin 3,8.8
Dynasty Warriors 8,8.7
Dynasty Warriors 8,8.7
Monster Manor,7.9
Warrior's Way,7
Flower Town,5
Mii Force,8.5
Plants vs. Zombies 2,8.7
Legends of Dawn,2.8
Pacific Rim,5.3
Storm,4
Limbo,9
Mario &amp; Luigi: Dream Team,8
Man of Steel HD,6
Man of Steel,6
Mutant Mudds Deluxe ,8
Mutant Mudds Deluxe,8
Mutant Mudds Deluxe,8
Dark,4
Dark,4
Time and Eternity,5.6
Deus Ex: The Fall,8.2
Deus Ex: The Fall,8.2
Leisure Suit Larry Reloaded,4.1
Shin Megami Tensei IV,8.5
Kentucky Route Zero: Act 2,9.1
Kentucky Route Zero: Act 2,9.1
Kentucky Route Zero: Act 2,9.1
Sid Meier's Civilization V: Brave New World,9.4
Sid Meier's Civilization V: Brave New World,9.4
NCAA Football 14,7.4
NCAA Football 14,7.4
The Walking Dead: 400 Days,8.9
The Walking Dead: 400 Days,8.9
The Walking Dead: 400 Days,8.9
The Walking Dead: 400 Days,8.9
Magic: The Gathering -- Duels of the Planeswalkers 2014,8.1
Magic: The Gathering -- Duels of the Planeswalkers 2014,8.1
Magic: The Gathering -- Duels of the Planeswalkers 2014,8.1
Magic: The Gathering -- Duels of the Planeswalkers 2014,8.1
Magic: The Gathering -- Duels of the Planeswalkers 2014 ,8.1
New Super Luigi U (Nintendo eShop Edition),7.3
New Super Luigi U,7.3
Red Orchestra 2: Rising Storm,8.3
Dungeons &amp; Dragons: Chronicles of Mystara,8.3
Dungeons &amp; Dragons: Chronicles of Mystara,8.3
Dungeons &amp; Dragons: Chronicles of Mystara,8.3
Dungeons &amp; Dragons: Chronicles of Mystara,8.3
World War Z,5.3
Penny Arcade's On the Rain-slick Precipice of Darkness 4,6
Penny Arcade's On the Rain-slick Precipice of Darkness 4,6
Project X Zone,8
